Code,Name,Purchase Price,Tax,Retail Price,Category Code
,Sardina calmex salsa de tomate 425gr,,0,,13
,Sardina ponto en aceite 120gr,,0,,13
,Atun dolores en agua 295gr,,0,,13
,Atun dolores en aceite 295gr,,0,,13
,Atun dolores en agua 140gr,,0,,13
,Atun dolores en aceite 140gr,,0,,13
,Sardina yavaros en salsa de tomate 425gr,,0,,13
7.50E+12,Papel higienico Quiality,,0,,13
7.50E+12,Papel higienico Petalo Jumbo,,0,,13
,NESCAFE CLASICO 14GR SOBRE,,0,,13
7.50E+12,Papel Higienico Regio 400 HJS,,0,,13
,Aceite 1-2-3 1 lt,,0,,13
,Aceite 1-2-3 500ml,,0,,13
,Aceite Nutrioli 946 ML,,0,,13
,Aceite Cristal 500ml,,0,,13
,Aceite Cristal 1 lt,,0,,13
,Aceite capullo 840ml,,0,,13
,Nescafe clasico sobre 28 gr,,0,,13
,Cafe Oro 24 kilates 75gr,,0,,13
,Nescafe 42gr soluble,,0,,13
,Nescafe 120gr soluble,,0,,13
,Nescafe 225gr soluble,,0,,13
,Cafe decaf 48gr soluble,,0,,13
,Nescafe decaf 95gr soluble,,0,,13
,Cafe legal sobre 30gr,,0,,13
,Cafe legal con canela sobre 34gr,,0,,13
,Maruchan instantanea camaron 64gr,,0,,13
,Maruchan Instantanea camaron con chile piquin 64gr,,0,,13
,Maruchan Instantanea camaron con limon y habanero 64gr,,0,,13
,Maruchan instantanea pollo 64gr,,0,,13
,Maruchan instantanea res 64gr,,0,,13
,Spaguetti la moderna 200gr,,0,,13
,Pasta la Moderna Fideo #2 200gr,,0,,13
,Pasta la Moderna Fideo #1 200gr,,0,,13
,Pasta la Moderna Fideo #0 200gr,,0,,13
,Pasta la moderna lengua 200gr,,0,,13
,Pasta la moderna Tallarin #1 200gr,,0,,13
,Pasta la Moderna Almeja 200gr,,0,,13
,Pasta la Moderna Moño mediano 200gr,,0,,13
,Pasta la moderna caracol #1 200gr,,0,,13
