Code,Name,Purchase Price,Tax,Retail Price,Category Code
1,Sardina calmex salsa de tomate 425gr,,0,28,13
2,Sardina ponto en aceite 120gr,,0,0,13
3,Atun dolores en agua 295gr,,0,0,13
4,Atun dolores en aceite 295gr,,0,0,13
5,Atun dolores en agua 140gr,,0,17,13
6,Atun dolores en aceite 140gr,,0,17,13
7,Sardina yavaros en salsa de tomate 425gr,,0,27,13
8,Papel higienico Quiality,,0,8,13
9,Papel higienico Petalo Jumbo,,0,25,13
10,NESCAFE CLASICO 14GR SOBRE,,0,10,13
11,Papel Higienico Regio 400 HJS,,0,24,13
12,Aceite 1-2-3 1 lt,,0,30,13
13,Aceite 1-2-3 500ml,,0,15,13
14,Aceite Nutrioli 946 ML,,0,30,13
15,Aceite Cristal 500ml,,0,15,13
16,Aceite Cristal 1 lt,,0,29,13
17,Aceite capullo 840ml,,0,30,13
18,Nescafe clasico sobre 28 gr,,0,16,13
19,Cafe Oro 24 kilates 75gr,,0,0,13
20,Nescafe 42gr soluble,,0,21,13
21,Nescafe 120gr soluble,,0,52,13
22,Nescafe 225gr soluble,,0,85,13
23,Cafe decaf 48gr soluble,,0,36,13
24,Nescafe decaf 95gr soluble,,0,0,13
25,Cafe legal sobre 30gr,,0,7,13
26,Cafe legal con canela sobre 34gr,,0,8,13
27,Maruchan instantanea camaron 64gr,,0,9,13
28,Maruchan Instantanea camaron con chile piquin 64gr,,0,9,13
29,Maruchan Instantanea camaron con limon y habanero 64gr,,0,9,13
30,Maruchan instantanea pollo 64gr,,0,9,13
31,Maruchan instantanea res 64gr,,0,9,13
32,Spaguetti la moderna 200gr,,0,5,13
33,Pasta la Moderna Fideo #2 200gr,,0,5,13
34,Pasta la Moderna Fideo #1 200gr,,0,5,13
35,Pasta la Moderna Fideo #0 200gr,,0,5,13
36,Pasta la moderna lengua 200gr,,0,5,13
37,Pasta la moderna Tallarin #1 200gr,,0,5,13
38,Pasta la Moderna Almeja 200gr,,0,5,13
39,Pasta la Moderna Moño mediano 200gr,,0,5,13
40,Pasta la moderna caracol #1 200gr,,0,5,13
41,Pasta la moderna macarron 200gr,,0,5,13
42,Pasta la moderna Estrella 200gr,,0,5,13
43,Pasta la Moderna Codo #2 200gr,,0,5,13
44,Pasta la Moderna Codo #3 200gr,,0,5,13
45,Palomitas act ii caramelo,,0,18,13
46,Palomitas act ii mantequilla,,0,10,13
47,Palomitas actii extra mantequilla,,0,10,13
48,Palomitas act ii natural 80gr,,0,10,13
49,Palomitas act ii chile y limon,,0,10,13
50,shampoo head shoulders L.R. 1 lt,,0,0,16
51,shampoo head shoulders L.R. 375ml,,0,52,16
52,shampoo head shoulders MEN 90ml,,0,15,16
53,shampoo head shoulders C.C. 500ML,,0,0,16
54,shampoo head shoulders sobre 10ml,,0,3,16
55,Shampoo Pantene 1 lt,,0,0,16
56,Shampoo Pantene 90ml,,0,15,16
57,Shampoo savile 1.2 lt,,0,0,16
58,Shampoo Savile Sobre,,0,3,16
59,Shampoo Pantene Sobre,,0,3,16
60,Shampoo Sedal sobre,,0,3,16
61,Shampoo Savile 750ml,,0,50,16
62,Desodorante Axe Spray Apollo 150ml,,0,50,16
63,Desodorante Axe Spray gold temptation 150ml,,0,50,16
64,Desodorante Axe Spray Dark Temptation 150ml,,0,50,16
65,Desodorante Axe Spray Black 150ml,,0,50,16
66,Desodorante Axe Spray Black Night 150ml,,0,50,16
67,Desodorante Axe Spray Excite 150ml,,0,50,16
68,Desodorante Axe Spray Peace 150ml,,0,50,16
69,Desodorante barra Lady speed stick invisible,,0,0,16
70,Desodorante Barra Dove Original,,0,0,16
71,Nivea Aerosol Aclarado natural 150ml,,0,55,16
72,Desodorante Rexona Men 50ml,,0,20,16
73,Desodorante Rexona Mujer M. S.  50ml,,0,0,16
74,Desodorante Rexona Women Cotton 50ml,,0,0,16
75,Desodorante Gillete Endurece 82gr,,0,60,16
76,Desororante Jovan Musk For Men 70gr,,0,55,16
77,Crema Para Peinar Sedal Liso perfecto 300ml,,0,45,16
78,Crema Para Peinar Sedal Restauracion 300ml,,0,45,16
